UUID        = f318bdec-c973-4a03-ae2f-381d05d8a325
     20780550     ECG2   3057 
     20780551     ECG2   3057 
     20780552     ECG2   3057 
     20780553     ECG2   3057 
     20780554     ECG2   3057 
     20780555     ECG2   3057 
     20780556     ECG2   3057 
     20780557     ECG2   3057 
     20780558     ECG2   3057 
     20780559     ECG2   3057 
     20780560     ECG2   3057 
     20780561     ECG2   3057 
     20780562     ECG2   3057 
     20780563     ECG2   3057 
     20780564     ECG2   3057 
     20780565     ECG2   3057 
     20780566     ECG2   3057 
     20780567     ECG2   3057 
     20780568     ECG2   3057 
     20780569     ECG2   3057 
     20780570     ECG2   3057 
     20780571     ECG2   3057 
     20780572     ECG2   3057 
     20780573     ECG2   3057 
     20780574     ECG2   3057 
     20780575     ECG2   3057 
     20780576     ECG2   3057 
     20780577     ECG2   3057 
     20780578     ECG2   3057 
     20780579     ECG2   3057 
     20780580     ECG2   3057 
     20780581     ECG2   3057 
     20780582     ECG2   3057 
     20780583     ECG2   3057 
     20780544     ECG3   3425 
     20780545     ECG3   3425 
     20780546     ECG3   3425 
     20780547     ECG3   3425 
     20780548     ECG3   3425 
     20780549     ECG3   3425 
     20780550     ECG3   3425 
     20780551     ECG3   3425 
     20780552     ECG3   3425 
     20780553     ECG3   3425 
     20780554     ECG3   3425 
     20780555     ECG3   3425 
     20780556     ECG3   3425 
     20780557     ECG3   3425 
     20780558     ECG3   3425 
     20780559     ECG3   3425 
     20780560     ECG3   3425 
     20780561     ECG3   3425 
     20780562     ECG3   3425 
     20780563     ECG3   3425 
     20780564     ECG3   3425 
     20780565     ECG3   3425 
     20780566     ECG3   3425 
     20780567     ECG3   3425 
     20780568     ECG3   3425 
     20780569     ECG3   3425 
     20780570     ECG3   3425 
     20780571     ECG3   3425 
     20780572     ECG3   3425 
     20780573     ECG3   3425 
     20780574     ECG3   3425 
     20780575     ECG3   3425 
     20780576     ECG3   3425 
     20780577     ECG3   3425 
     20780578     ECG3   3425 
     20780579     ECG3   3425 
     20780580     ECG3   3425 
     20780581     ECG3   3425 
     20780582     ECG3   3425 
     20780583     ECG3   3425 
     20780544     ECG4    166 
     20780545     ECG4    166 
     20780546     ECG4    166 
     20780547     ECG4    166 
     20780548     ECG4    166 
     20780549     ECG4    166 
     20780550     ECG4    166 
     20780551     ECG4    166 
     20780552     ECG4    166 
     20780553     ECG4    166 
     20780554     ECG4    166 
     20780555     ECG4    166 
     20780556     ECG4    166 
     20780557     ECG4    166 
     20780558     ECG4    166 
     20780559     ECG4    166 
     20780560     ECG4    166 
     20780561     ECG4    166 
     20780562     ECG4    166 
     20780563     ECG4    166 
     20780564     ECG4    166 
     20780565     ECG4    166 
     20780566     ECG4    166 
     20780567     ECG4    166 
     20780568     ECG4    166 
     20780569     ECG4    166 
     20780570     ECG4    166 
     20780571     ECG4    166 
     20780572     ECG4    166 
     20780573     ECG4    166 
     20780574     ECG4    166 
     20780575     ECG4    166 
     20780576     ECG4    166 
     20780577     ECG4    166 
     20780578     ECG4    166 
     20780579     ECG4    166 
     20780580     ECG4    166 
     20780581     ECG4    166 
     20780582     ECG4    166 
     20780583     ECG4    166 
     20780584     ECG1   3575 
     20780585     ECG1   3575 
     20780586     ECG1   3575 
     20780587     ECG1   3575 
     20780588     ECG1   3575 
     20780589     ECG1   3575 
     20780590     ECG1   3575 
     20780591     ECG1   3575 
     20780592     ECG1   3575 
     20780593     ECG1   3575 
     20780594     ECG1   3575 
     20780595     ECG1   3575 
     20780596     ECG1   3575 
     20780597     ECG1   3575 
     20780598     ECG1   3575 
     20780599     ECG1   3575 
     20780600     ECG1   3575 
     20780601     ECG1   3575 
     20780602     ECG1   3575 
     20780603     ECG1   3575 
     20780604     ECG1   3575 
     20780605     ECG1   3575 
     20780606     ECG1   3575 
     20780607     ECG1   3575 
     20780608     ECG1   3575 
     20780609     ECG1   3575 
     20780610     ECG1   3575 
     20780611     ECG1   3575 
     20780612     ECG1   3575 
     20780613     ECG1   3575 
     20780614     ECG1   3575 
     20780615     ECG1   3575 
     20780616     ECG1   3575 
     20780617     ECG1   3575 
     20780618     ECG1   3575 
     20780619     ECG1   3575 
     20780620     ECG1   3575 
     20780621     ECG1   3575 
     20780622     ECG1   3575 
     20780623     ECG1   3575 
     20780584     ECG2   3057 
     20780585     ECG2   3057 
     20780586     ECG2   3057 
     20780587     ECG2   3057 
     20780588     ECG2   3057 
     20780589     ECG2   3057 
     20780590     ECG2   3057 
     20780591     ECG2   3057 
     20780592     ECG2   3057 
     20780593     ECG2   3057 
     20780594     ECG2   3057 
     20780595     ECG2   3057 
     20780596     ECG2   3057 
     20780597     ECG2   3057 
     20780598     ECG2   3057 
     20780599     ECG2   3057 
     20780600     ECG2   3057 
     20780601     ECG2   3057 
     20780602     ECG2   3057 
     20780603     ECG2   3057 
     20780604     ECG2   3057 
     20780605     ECG2   3057 
     20780606     ECG2   3057 
     20780607     ECG2   3057 
     20780608     ECG2   3057 
     20780609     ECG2   3057 
     20780610     ECG2   3057 
     20780611     ECG2   3057 
     20780612     ECG2   3057 
     20780613     ECG2   3057 
     20780614     ECG2   3057 
     20780615     ECG2   3057 
     20780616     ECG2   3057 
     20780617     ECG2   3057 
     20780618     ECG2   3057 
     20780619     ECG2   3057 
     20780620     ECG2   3057 
     20780621     ECG2   3057 
     20780622     ECG2   3057 
     20780623     ECG2   3057 
     20780584     ECG3   3425 
     20780585     ECG3   3425 
     20780586     ECG3   3425 
     20780587     ECG3   3425 
     20780588     ECG3   3425 
     20780589     ECG3   3425 
     20780590     ECG3   3425 
     20780591     ECG3   3425 
     20780592     ECG3   3425 
     20780593     ECG3   3425 
     20780594     ECG3   3425 
     20780595     ECG3   3425 
     20780596     ECG3   3425 
     20780597     ECG3   3425 
     20780598     ECG3   3425 
     20780599     ECG3   3425 
     20780600     ECG3   3425 
     20780601     ECG3   3425 
     20780602     ECG3   3425 
     20780603     ECG3   3425 
     20780604     ECG3   3425 
     20780605     ECG3   3425 
     20780606     ECG3   3425 
     20780607     ECG3   3425 
     20780608     ECG3   3425 
     20780609     ECG3   3425 
     20780610     ECG3   3425 
     20780611     ECG3   3425 
     20780612     ECG3   3425 
     20780613     ECG3   3425 
     20780614     ECG3   3425 
     20780615     ECG3   3425 
     20780616     ECG3   3425 
     20780617     ECG3   3425 
     20780618     ECG3   3425 
     20780619     ECG3   3425 
     20780620     ECG3   3425 
     20780621     ECG3   3425 
     20780622     ECG3   3425 
     20780623     ECG3   3425 
     20780584     ECG4    166 
     20780585     ECG4    166 
     20780586     ECG4    166 
     20780587     ECG4    166 
     20780588     ECG4    166 
     20780589     ECG4    166 
     20780590     ECG4    166 
     20780591     ECG4    166 
     20780592     ECG4    166 
     20780593     ECG4    166 
     20780594     ECG4    166 
     20780595     ECG4    166 
     20780596     ECG4    166 
     20780597     ECG4    166 
     20780598     ECG4    166 
     20780599     ECG4    166 
     20780600     ECG4    166 
     20780601     ECG4    166 
     20780602     ECG4    166 
     20780603     ECG4    166 
     20780604     ECG4    166 
     20780605     ECG4    166 
     20780606     ECG4    166 
     20780607     ECG4    166 
     20780608     ECG4    166 
     20780609     ECG4    166 
     20780610     ECG4    166 
     20780611     ECG4    166 
     20780612     ECG4    166 
     20780613     ECG4    166 
     20780614     ECG4    166 
     20780615     ECG4    166 
     20780616     ECG4    166 
     20780617     ECG4    166 
     20780618     ECG4    166 
     20780619     ECG4    166 
     20780620     ECG4    166 
     20780621     ECG4    166 
     20780622     ECG4    166 
     20780623     ECG4    166 
     20780624     ECG1   3575 
     20780625     ECG1   3575 
     20780626     ECG1   3575 
     20780627     ECG1   3575 
     20780628     ECG1   3575 
     20780629     ECG1   3575 
     20780630     ECG1   3575 
     20780631     ECG1   3575 
     20780632     ECG1   3575 
     20780633     ECG1   3575 
     20780634     ECG1   3575 
     20780635     ECG1   3575 
     20780636     ECG1   3575 
     20780637     ECG1   3575 
     20780638     ECG1   3575 
     20780639     ECG1   3575 
     20780640     ECG1   3575 
     20780641     ECG1   3575 
     20780642     ECG1   3575 
     20780643     ECG1   3575 
     20780644     ECG1   3575 
     20780645     ECG1   3575 
     20780646     ECG1   3575 
     20780647     ECG1   3575 
     20780648     ECG1   3575 
     20780649     ECG1   3575 
     20780650     ECG1   3575 
     20780651     ECG1   3575 
     20780652     ECG1   3575 
     20780653     ECG1   3575 
     20780654     ECG1   3575 
     20780655     ECG1   3575 
     20780656     ECG1   3575 
     20780657     ECG1   3575 
     20780658     ECG1   3575 
     20780659     ECG1   3575 
     20780660     ECG1   3575 
     20780661     ECG1   3575 
     20780662     ECG1   3575 
     20780663     ECG1   3575 
     20780624     ECG2   3057 
     20780625     ECG2   3057 
     20780626     ECG2   3057 
     20780627     ECG2   3057 
     20780628     ECG2   3057 
     20780629     ECG2   3057 
     20780630     ECG2   3057 
     20780631     ECG2   3057 
     20780632     ECG2   3057 
     20780633     ECG2   3057 
     20780634     ECG2   3057 
     20780635     ECG2   3057 
     20780636     ECG2   3057 
     20780637     ECG2   3057 
     20780638     ECG2   3057 
     20780639     ECG2   3057 
     20780640     ECG2   3057 
     20780641     ECG2   3057 
     20780642     ECG2   3057 
     20780643     ECG2   3057 
     20780644     ECG2   3057 
     20780645     ECG2   3057 
     20780646     ECG2   3057 
     20780647     ECG2   3057 
     20780648     ECG2   3057 
     20780649     ECG2   3057 
     20780650     ECG2   3057 
     20780651     ECG2   3057 
     20780652     ECG2   3057 
     20780653     ECG2   3057 
     20780654     ECG2   3057 
     20780655     ECG2   3057 
     20780656     ECG2   3057 
     20780657     ECG2   3057 
     20780658     ECG2   3057 
     20780659     ECG2   3057 
     20780660     ECG2   3057 
     20780661     ECG2   3057 
     20780662     ECG2   3057 
     20780663     ECG2   3057 
     20780624     ECG3   3425 
     20780625     ECG3   3425 
     20780626     ECG3   3425 
     20780627     ECG3   3425 
     20780628     ECG3   3425 
     20780629     ECG3   3425 
     20780630     ECG3   3425 
     20780631     ECG3   3425 
     20780632     ECG3   3425 
     20780633     ECG3   3425 
     20780634     ECG3   3425 
     20780635     ECG3   3425 
     20780636     ECG3   3425 
     20780637     ECG3   3425 
     20780638     ECG3   3425 
     20780639     ECG3   3425 
     20780640     ECG3   3425 
     20780641     ECG3   3425 
     20780642     ECG3   3425 
     20780643     ECG3   3425 
     20780644     ECG3   3425 
     20780645     ECG3   3425 
     20780646     ECG3   3425 
     20780647     ECG3   3425 
     20780648     ECG3   3425 
     20780649     ECG3   3425 
     20780650     ECG3   3425 
     20780651     ECG3   3425 
     20780652     ECG3   3425 
     20780653     ECG3   3425 
     20780654     ECG3   3425 
     20780655     ECG3   3425 
     20780656     ECG3   3425 
     20780657     ECG3   3425 
     20780658     ECG3   3425 
     20780659     ECG3   3425 
     20780660     ECG3   3425 
     20780661     ECG3   3425 
     20780662     ECG3   3425 
     20780663     ECG3   3425 
     20780624     ECG4    166 
     20780625     ECG4    166 
     20780626     ECG4    166 
     20780627     ECG4    166 
     20780628     ECG4    166 
     20780629     ECG4    166 
     20780630     ECG4    166 
     20780631     ECG4    166 
     20780632     ECG4    166 
     20780633     ECG4    166 
     20780634     ECG4    166 
     20780635     ECG4    166 
     20780636     ECG4    166 
     20780637     ECG4    166 
     20780638     ECG4    166 
     20780639     ECG4    166 
     20780640     ECG4    166 
     20780641     ECG4    166 
     20780642     ECG4    166 
     20780643     ECG4    166 
     20780644     ECG4    166 
     20780645     ECG4    166 
     20780646     ECG4    166 
     20780647     ECG4    166 
     20780648     ECG4    166 
     20780649     ECG4    166 
     20780650     ECG4    166 
     20780651     ECG4    166 
     20780652     ECG4    166 
     20780653     ECG4    166 
     20780654     ECG4    166 
     20780655     ECG4    166 
     20780656     ECG4    166 
     20780657     ECG4    166 
     20780658     ECG4    166 
     20780659     ECG4    166 
     20780660     ECG4    166 
     20780661     ECG4    166 
     20780662     ECG4    166 
     20780663     ECG4    166 
     20780664     ECG1   3575 
     20780665     ECG1   3575 
     20780666     ECG1   3575 
     20780667     ECG1   3575 
     20780668     ECG1   3575 
     20780669     ECG1   3575 
     20780670     ECG1   3575 
     20780671     ECG1   3575 
     20780672     ECG1   3575 
     20780673     ECG1   3575 
     20780674     ECG1   3575 
     20780675     ECG1   3575 
     20780676     ECG1   3575 
     20780677     ECG1   3575 
     20780678     ECG1   3575 
     20780679     ECG1   3575 
     20780680     ECG1   3575 
     20780681     ECG1   3575 
     20780682     ECG1   3575 
     20780683     ECG1   3575 
     20780684     ECG1   3575 
     20780685     ECG1   3575 
     20780686     ECG1   3575 
     20780687     ECG1   3575 
     20780688     ECG1   3575 
     20780689     ECG1   3575 
     20780690     ECG1   3575 
     20780691     ECG1   3575 
     20780692     ECG1   3575 
     20780693     ECG1   3575 
     20780694     ECG1   3575 
     20780695     ECG1   3575 
     20780696     ECG1   3575 
     20780697     ECG1   3575 
     20780698     ECG1   3575 
     20780699     ECG1   3575 
     20780700     ECG1   3575 
     20780701     ECG1   3575 
     20780702     ECG1   3575 
     20780703     ECG1   3575 
     20780664     ECG2   3057 
     20780665     ECG2   3057 
     20780666     ECG2   3057 
     20780667     ECG2   3057 
     20780668     ECG2   3057 
     20780669     ECG2   3057 
     20780670     ECG2   3057 
     20780671     ECG2   3057 
     20780672     ECG2   3057 
     20780673     ECG2   3057 
     20780674     ECG2   3057 
     20780675     ECG2   3057 
     20780676     ECG2   3057 
     20780677     ECG2   3057 
     20780678     ECG2   3057 
     20780679     ECG2   3057 
     20780680     ECG2   3057 
     20780681     ECG2   3057 
     20780682     ECG2   3057 
     20780683     ECG2   3057 
     20780684     ECG2   3057 
     20780685     ECG2   3057 
     20780686     ECG2   3057 
     20780687     ECG2   3057 
     20780688     ECG2   3057 
     20780689     ECG2   3057 
     20780690     ECG2   3057 
     20780691     ECG2   3057 
     20780692     ECG2   3057 
     20780693     ECG2   3057 
     20780694     ECG2   3057 
     20780695     ECG2   3057 
     20780696     ECG2   3057 
     20780697     ECG2   3057 
     20780698     ECG2   3057 
     20780699     ECG2   3057 
     20780700     ECG2   3057 
     20780701     ECG2   3057 
     20780702     ECG2   3057 
     20780703     ECG2   3057 
     20780664     ECG3   3425 
     20780665     ECG3   3425 
     20780666     ECG3   3425 
     20780667     ECG3   3425 
     20780668     ECG3   3425 
     20780669     ECG3   3425 
     20780670     ECG3   3425 
     20780671     ECG3   3425 
     20780672     ECG3   3425 
     20780673     ECG3   3425 
     20780674     ECG3   3425 
     20780675     ECG3   3425 
     20780676     ECG3   3425 
     20780677     ECG3   3425 
     20780678     ECG3   3425 
     20780679     ECG3   3425 
     20780680     ECG3   3425 
     20780681     ECG3   3425 
     20780682     ECG3   3425 
     20780683     ECG3   3425 
     20780684     ECG3   3425 
     20780685     ECG3   3425 
     20780686     ECG3   3425 
     20780687     ECG3   3425 
     20780688     ECG3   3425 
     20780689     ECG3   3425 
     20780690     ECG3   3425 
     20780691     ECG3   3425 
     20780692     ECG3   3425 
     20780693     ECG3   3425 
     20780694     ECG3   3425 
     20780695     ECG3   3425 
     20780696     ECG3   3425 
     20780697     ECG3   3425 
     20780698     ECG3   3425 
     20780699     ECG3   3425 
     20780700     ECG3   3425 
     20780701     ECG3   3425 
     20780702     ECG3   3425 
     20780703     ECG3   3425 
     20780664     ECG4    166 
     20780665     ECG4    166 
     20780666     ECG4    166 
     20780667     ECG4    166 
     20780668     ECG4    166 
     20780669     ECG4    166 
     20780670     ECG4    166 
     20780671     ECG4    166 
     20780672     ECG4    166 
     20780673     ECG4    166 
     20780674     ECG4    166 
     20780675     ECG4    166 
     20780676     ECG4    166 
     20780677     ECG4    166 
     20780678     ECG4    166 
     20780679     ECG4    166 
     20780680     ECG4    166 
     20780681     ECG4    166 
     20780682     ECG4    166 
     20780683     ECG4    166 
     20780684     ECG4    166 
     20780685     ECG4    166 
     20780686     ECG4    166 
     20780687     ECG4    166 
     20780688     ECG4    166 
     20780689     ECG4    166 
     20780690     ECG4    166 
     20780691     ECG4    166 
     20780692     ECG4    166 
     20780693     ECG4    166 
     20780694     ECG4    166 
     20780695     ECG4    166 
     20780696     ECG4    166 
     20780697     ECG4    166 
     20780698     ECG4    166 
     20780699     ECG4    166 
     20780700     ECG4    166 
     20780701     ECG4    166 
     20780702     ECG4    166 
     20780703     ECG4    166 
     20780704     ECG1   3575 
     20780705     ECG1   3575 
     20780706     ECG1   3575 
     20780707     ECG1   3575 
     20780708     ECG1   3575 
     20780709     ECG1   3575 
     20780710     ECG1   3575 
     20780711     ECG1   3575 
     20780712     ECG1   3575 
     20780713     ECG1   3575 
     20780714     ECG1   3575 
     20780715     ECG1   3575 
     20780716     ECG1   3575 
     20780717     ECG1   3575 
     20780718     ECG1   3575 
     20780719     ECG1   3575 
     20780720     ECG1   3575 
     20780721     ECG1   3575 
     20780722     ECG1   3575 
     20780723     ECG1   3575 
     20780724     ECG1   3575 
     20780725     ECG1   3575 
     20780726     ECG1   3575 
     20780727     ECG1   3575 
     20780728     ECG1   3575 
     20780729     ECG1   3575 
     20780730     ECG1   3575 
     20780731     ECG1   3575 
     20780732     ECG1   3575 
     20780733     ECG1   3575 
     20780734     ECG1   3575 
     20780735     ECG1   3575 
     20780736     ECG1   3575 
     20780737     ECG1   3575 
     20780738     ECG1   3575 
     20780739     ECG1   3575 
     20780740     ECG1   3575 
     20780741     ECG1   3575 
     20780742     ECG1   3575 
     20780743     ECG1   3575 
     20780704     ECG2   3057 
     20780705     ECG2   3057 
     20780706     ECG2   3057 
     20780707     ECG2   3057 
     20780708     ECG2   3057 
     20780709     ECG2   3057 
     20780710     ECG2   3057 
     20780711     ECG2   3057 
     20780712     ECG2   3057 
     20780713     ECG2   3057 
     20780714     ECG2   3057 
     20780715     ECG2   3057 
     20780716     ECG2   3057 
     20780717     ECG2   3057 
     20780718     ECG2   3057 
     20780719     ECG2   3057 
     20780720     ECG2   3057 
     20780721     ECG2   3057 
     20780722     ECG2   3057 
     20780723     ECG2   3057 
     20780724     ECG2   3057 
     20780725     ECG2   3057 
     20780726     ECG2   3057 
     20780727     ECG2   3057 
     20780728     ECG2   3057 
     20780729     ECG2   3057 
     20780730     ECG2   3057 
     20780731     ECG2   3057 
     20780732     ECG2   3057 
     20780733     ECG2   3057 
     20780734     ECG2   3057 
     20780735     ECG2   3057 
     20780736     ECG2   3057 
     20780737     ECG2   3057 
     20780738     ECG2   3057 
     20780739     ECG2   3057 
     20780740     ECG2   3057 
     20780741     ECG2   3057 
     20780742     ECG2   3057 
     20780743     ECG2   3057 
     20780704     ECG3   3425 
     20780705     ECG3   3425 
     20780706     ECG3   3425 
     20780707     ECG3   3425 
     20780708     ECG3   3425 
     20780709     ECG3   3425 
     20780710     ECG3   3425 
     20780711     ECG3   3425 
     20780712     ECG3   3425 
     20780713     ECG3   3425 
     20780714     ECG3   3425 
     20780715     ECG3   3425 
     20780716     ECG3   3425 
     20780717     ECG3   3425 
     20780718     ECG3   3425 
     20780719     ECG3   3425 
     20780720     ECG3   3425 
     20780721     ECG3   3425 
     20780722     ECG3   3425 
     20780723     ECG3   3425 
     20780724     ECG3   3425 
     20780725     ECG3   3425 
     20780726     ECG3   3425 
     20780727     ECG3   3425 
     20780728     ECG3   3425 
     20780729     ECG3   3425 
     20780730     ECG3   3425 
     20780731     ECG3   3425 
     20780732     ECG3   3425 
     20780733     ECG3   3425 
     20780734     ECG3   3425 
     20780735     ECG3   3425 
     20780736     ECG3   3425 
     20780737     ECG3   3425 
     20780738     ECG3   3425 
     20780739     ECG3   3425 
     20780740     ECG3   3425 
     20780741     ECG3   3425 
     20780742     ECG3   3425 
     20780743     ECG3   3425 
     20780704     ECG4    166 
     20780705     ECG4    166 
     20780706     ECG4    166 
     20780707     ECG4    166 
     20780708     ECG4    166 
     20780709     ECG4    166 
     20780710     ECG4    166 
     20780711     ECG4    166 
     20780712     ECG4    166 
     20780713     ECG4    166 
     20780714     ECG4    166 
     20780715     ECG4    166 
     20780716     ECG4    166 
     20780717     ECG4    166 
     20780718     ECG4    166 
     20780719     ECG4    166 
     20780720     ECG4    166 
     20780721     ECG4    166 
     20780722     ECG4    166 
     20780723     ECG4    166 
     20780724     ECG4    166 
     20780725     ECG4    166 
     20780726     ECG4    166 
     20780727     ECG4    166 
     20780728     ECG4    166 
     20780729     ECG4    166 
     20780730     ECG4    166 
     20780731     ECG4    166 
     20780732     ECG4    166 
     20780733     ECG4    166 
     20780734     ECG4    166 
     20780735     ECG4    166 
     20780736     ECG4    166 
     20780737     ECG4    166 
     20780738     ECG4    166 
     20780739     ECG4    166 
     20780740     ECG4    166 
     20780741     ECG4    166 
     20780742     ECG4    166 
     20780743     ECG4    166 
     20780744     ECG1   3575 
     20780745     ECG1   3575 
     20780746     ECG1   3575 
     20780747     ECG1   3575 
     20780748     ECG1   3575 
     20780749     ECG1   3575 
     20780750     ECG1   3575 
     20780751     ECG1   3575 
     20780752     ECG1   3575 
     20780753     ECG1   3575 
     20780754     ECG1   3575 
     20780755     ECG1   3575 
     20780756     ECG1   3575 
     20780757     ECG1   3575 
     20780758     ECG1   3575 
     20780759     ECG1   3575 
     20780760     ECG1   3575 
     20780761     ECG1   3575 
     20780762     ECG1   3575 
     20780763     ECG1   3575 
     20780764     ECG1   3575 
     20780765     ECG1   3575 
     20780766     ECG1   3575 
     20780767     ECG1   3575 
     20780768     ECG1   3575 
     20780769     ECG1   3575 
     20780770     ECG1   3575 
     20780771     ECG1   3575 
     20780772     ECG1   3575 
     20780773     ECG1   3575 
     20780774     ECG1   3575 
     20780775     ECG1   3575 
     20780776     ECG1   3575 
     20780777     ECG1   3575 
     20780778     ECG1   3575 
     20780779     ECG1   3575 
     20780780     ECG1   3575 
     20780781     ECG1   3575 
     20780782     ECG1   3575 
     20780783     ECG1   3575 
     20780744     ECG2   3057 
     20780745     ECG2   3057 
     20780746     ECG2   3057 
     20780747     ECG2   3057 
     20780748     ECG2   3057 
     20780749     ECG2   3057 
     20780750     ECG2   3057 
     20780751     ECG2   3057 
     20780752     ECG2   3057 
     20780753     ECG2   3057 
     20780754     ECG2   3057 
     20780755     ECG2   3057 
     20780756     ECG2   3057 
     20780757     ECG2   3057 
     20780758     ECG2   3057 
     20780759     ECG2   3057 
     20780760     ECG2   3057 
     20780761     ECG2   3057 
     20780762     ECG2   3057 
     20780763     ECG2   3057 
     20780764     ECG2   3057 
     20780765     ECG2   3057 
     20780766     ECG2   3057 
     20780767     ECG2   3057 
     20780768     ECG2   3057 
     20780769     ECG2   3057 
     20780770     ECG2   3057 
     20780771     ECG2   3057 
     20780772     ECG2   3057 
     20780773     ECG2   3057 
     20780774     ECG2   3057 
     20780775     ECG2   3057 
     20780776     ECG2   3057 
     20780777     ECG2   3057 
     20780778     ECG2   3057 
     20780779     ECG2   3057 
     20780780     ECG2   3057 
     20780781     ECG2   3057 
     20780782     ECG2   3057 
     20780783     ECG2   3057 
     20780744     ECG3   3425 
     20780745     ECG3   3425 
     20780746     ECG3   3425 
     20780747     ECG3   3425 
     20780748     ECG3   3425 
     20780749     ECG3   3425 
     20780750     ECG3   3425 
     20780751     ECG3   3425 
     20780752     ECG3   3425 
     20780753     ECG3   3425 
     20780754     ECG3   3425 
     20780755     ECG3   3425 
     20780756     ECG3   3425 
     20780757     ECG3   3425 
     20780758     ECG3   3425 
     20780759     ECG3   3425 
     20780760     ECG3   3425 
     20780761     ECG3   3425 
     20780762     ECG3   3425 
     20780763     ECG3   3425 
     20780764     ECG3   3425 
     20780765     ECG3   3425 
     20780766     ECG3   3425 
     20780767     ECG3   3425 
     20780768     ECG3   3425 
     20780769     ECG3   3425 
     20780770     ECG3   3425 
     20780771     ECG3   3425 
     20780772     ECG3   3425 
     20780773     ECG3   3425 
     20780774     ECG3   3425 
     20780775     ECG3   3425 
     20780776     ECG3   3425 
     20780777     ECG3   3425 
     20780778     ECG3   3425 
     20780779     ECG3   3425 
     20780780     ECG3   3425 
     20780781     ECG3   3425 
     20780782     ECG3   3425 
     20780783     ECG3   3425 
     20780744     ECG4    166 
     20780745     ECG4    166 
     20780746     ECG4    166 
     20780747     ECG4    166 
     20780748     ECG4    166 
     20780749     ECG4    166 
     20780750     ECG4    166 
     20780751     ECG4    166 
     20780752     ECG4    166 
     20780753     ECG4    166 
     20780754     ECG4    166 
     20780755     ECG4    166 
     20780756     ECG4    166 
     20780757     ECG4    166 
     20780758     ECG4    166 
     20780759     ECG4    166 
     20780760     ECG4    166 
     20780761     ECG4    166 
     20780762     ECG4    166 
     20780763     ECG4    166 
     20780764     ECG4    166 
     20780765     ECG4    166 
     20780766     ECG4    166 
     20780767     ECG4    166 
     20780768     ECG4    166 
     20780769     ECG4    166 
     20780770     ECG4    166 
     20780771     ECG4    166 
     20780772     ECG4    166 
     20780773     ECG4    166 
     20780774     ECG4    166 
     20780775     ECG4    166 
     20780776     ECG4    166 
     20780777     ECG4    166 
     20780778     ECG4    166 
     20780779     ECG4    166 
     20780780     ECG4    166 
     20780781     ECG4    166 
     20780782     ECG4    166 
     20780783     ECG4    166 
     20780784     ECG1   3575 
     20780785     ECG1   3575 
     20780786     ECG1   3575 
     20780787     ECG1   3575 
     20780788     ECG1   3575 
     20780789     ECG1   3575 
     20780790     ECG1   3575 
     20780791     ECG1   3575 
     20780792     ECG1   3575 
     20780793     ECG1   3575 
     20780794     ECG1   3575 
     20780795     ECG1   3575 
     20780796     ECG1   3575 
     20780797     ECG1   3575 
     20780798     ECG1   3575 
     20780799     ECG1   3575 
     20780800     ECG1   3575 
     20780801     ECG1   3575 
     20780802     ECG1   3575 
     20780803     ECG1   3575 
     20780804     ECG1   3575 
     20780805     ECG1   3575 
     20780806     ECG1   3575 
     20780807     ECG1   3575 
     20780808     ECG1   3575 
     20780809     ECG1   3575 
     20780810     ECG1   3575 
     20780811     ECG1   3575 
     20780812     ECG1   3575 
     20780813     ECG1   3575 
     20780814     ECG1   3575 
     20780815     ECG1   3575 
     20780816     ECG1   3575 
     20780817     ECG1   3575 
     20780818     ECG1   3575 
     20780819     ECG1   3575 
     20780820     ECG1   3575 
     20780821     ECG1   3575 
     20780822     ECG1   3575 
     20780823     ECG1   3575 
     20780784     ECG2   3057 
     20780785     ECG2   3057 
     20780786     ECG2   3057 
     20780787     ECG2   3057 
     20780788     ECG2   3057 
     20780789     ECG2   3057 
     20780790     ECG2   3057 
     20780791     ECG2   3057 
     20780792     ECG2   3057 
     20780793     ECG2   3057 
     20780794     ECG2   3057 
     20780795     ECG2   3057 
     20780796     ECG2   3057 
     20780797     ECG2   3057 
     20780798     ECG2   3057 
     20780799     ECG2   3057 
     20780800     ECG2   3057 
     20780801     ECG2   3057 
     20780802     ECG2   3057 
     20780803     ECG2   3057 
     20780804     ECG2   3057 
     20780805     ECG2   3057 
     20780806     ECG2   3057 
     20780807     ECG2   3057 
     20780808     ECG2   3057 
     20780809     ECG2   3057 
     20780810     ECG2   3057 
     20780811     ECG2   3057 
     20780812     ECG2   3057 
     20780813     ECG2   3057 
     20780814     ECG2   3057 
     20780815     ECG2   3057 
     20780816     ECG2   3057 
     20780817     ECG2   3057 
     20780818     ECG2   3057 
     20780819     ECG2   3057 
     20780820     ECG2   3057 
     20780821     ECG2   3057 
     20780822     ECG2   3057 
     20780823     ECG2   3057 
     20780784     ECG3   3425 
     20780785     ECG3   3425 
     20780786     ECG3   3425 
     20780787     ECG3   3425 
     20780788     ECG3   3425 
     20780789     ECG3   3425 
     20780790     ECG3   3425 
     20780791     ECG3   3425 
     20780792     ECG3   3425 
     20780793     ECG3   3425 
     20780794     ECG3   3425 
     20780795     ECG3   3425 
     20780796     ECG3   3425 
     20780797     ECG3   3425 
     20780798     ECG3   3425 
     20780799     ECG3   3425 
     20780800     ECG3   3425 
     20780801     ECG3   3425 
     20780802     ECG3   3425 
     20780803     ECG3   3425 
